"X","T1_Spelling","T1_ID","T1_Seed","T2_Spelling","T2_ID","T2_Seed","Pred"
0,"south carolina",3376,1,"usc",3425,1,0.565175354480743
1,"south carolina",3376,1,"texas",3400,1,0.565175354480743
2,"south carolina",3376,1,"iowa",3234,1,0.565175354480743
3,"south carolina",3376,1,"ohio state",3326,2,0.633468925952911
4,"south carolina",3376,1,"notre dame",3323,2,0.633468925952911
5,"south carolina",3376,1,"ucla",3417,2,0.633468925952911
6,"south carolina",3376,1,"stanford",3390,2,0.633468925952911
7,"south carolina",3376,1,"lsu",3261,3,0.829199850559235
8,"south carolina",3376,1,"uconn",3163,3,0.829199850559235
9,"south carolina",3376,1,"nc state",3301,3,0.829199850559235
10,"south carolina",3376,1,"oregon state",3333,3,0.829199850559235
11,"south carolina",3376,1,"virginia tech",3439,4,0.717206537723541
12,"south carolina",3376,1,"kansas state",3243,4,0.717206537723541
13,"south carolina",3376,1,"indiana",3231,4,0.717206537723541
14,"south carolina",3376,1,"gonzaga",3211,4,0.717206537723541
15,"south carolina",3376,1,"baylor",3124,5,0.800915718078613
16,"south carolina",3376,1,"colorado",3160,5,0.800915718078613
17,"south carolina",3376,1,"utah",3428,5,0.800915718078613
18,"south carolina",3376,1,"oklahoma",3328,5,0.800915718078613
19,"south carolina",3376,1,"tennessee",3397,6,0.74879002571106
20,"south carolina",3376,1,"nebraska",3304,6,0.74879002571106
21,"south carolina",3376,1,"syracuse",3393,6,0.74879002571106
22,"south carolina",3376,1,"louisville",3257,6,0.74879002571106
23,"south carolina",3376,1,"duke",3181,7,0.870427012443542
24,"south carolina",3376,1,"ole miss",3279,7,0.870427012443542
25,"south carolina",3376,1,"creighton",3166,7,0.870427012443542
26,"south carolina",3376,1,"iowa state",3235,7,0.870427012443542
27,"south carolina",3376,1,"kansas",3242,8,0.853090286254883
28,"south carolina",3376,1,"alabama",3104,8,0.853090286254883
29,"south carolina",3376,1,"north carolina",3314,8,0.853090286254883
30,"south carolina",3376,1,"west virginia",3452,8,0.853090286254883
31,"south carolina",3376,1,"michigan",3276,9,0.797921359539032
32,"south carolina",3376,1,"florida state",3199,9,0.797921359539032
33,"south carolina",3376,1,"michigan state",3277,9,0.797921359539032
34,"south carolina",3376,1,"princeton",3343,9,0.797921359539032
35,"south carolina",3376,1,"richmond",3350,10,0.902432858943939
36,"south carolina",3376,1,"marquette",3266,10,0.902432858943939
37,"south carolina",3376,1,"unlv",3424,10,0.902432858943939
38,"south carolina",3376,1,"maryland",3268,10,0.902432858943939
39,"south carolina",3376,1,"middle tennessee",3292,11,0.902432858943939
40,"south carolina",3376,1,"texas a&m",3401,11,0.902432858943939
41,"south carolina",3376,1,"green bay",3453,11,0.902432858943939
42,"south carolina",3376,1,"auburn",3120,11,0.902432858943939
43,"south carolina",3376,1,"arizona",3112,11,0.902432858943939
44,"south carolina",3376,1,"florida gulf coast",3195,12,0.985073745250702
45,"south carolina",3376,1,"south dakota state",3355,12,0.985073745250702
46,"south carolina",3376,1,"columbia",3162,12,0.985073745250702
47,"south carolina",3376,1,"vanderbilt",3435,12,0.985073745250702
48,"south carolina",3376,1,"drake",3179,12,0.985073745250702
49,"south carolina",3376,1,"portland",3339,13,0.985073745250702
50,"south carolina",3376,1,"fairfield",3193,13,0.985073745250702
51,"south carolina",3376,1,"marshall",3267,13,0.985073745250702
52,"south carolina",3376,1,"uc irvine",3414,13,0.985073745250702
53,"south carolina",3376,1,"chattanooga",3151,14,0.985073745250702
